NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOLR1	231	5.2987060546875	0.31551033	Yes	
row_1	PPIL1	3185	0.6530647873878479	0.19190504	No	
row_2	OPN3	3440	0.59947669506073	0.21494015	No	
row_3	SLC22A1	3599	0.5695400834083557	0.2414541	No	
row_4	YIPF1	3606	0.5683580636978149	0.2763402	No	
row_5	RNF10	5158	0.3383554220199585	0.21113083	No	
row_6	GTDC1	5181	0.3354444205760956	0.23069496	No	
row_7	CACUL1	7490	0.11153800040483475	0.10937017	No	
row_8	ESYT1	7922	0.0671260878443718	0.08958267	No	
row_9	ZMYND11	8969	-0.03102322854101658	0.033387516	No	
row_10	CD2AP	9164	-0.04780397191643715	0.02557081	No	
row_11	SPECC1	13050	-0.5229277610778809	-0.15788223	No	
row_12	CCNL2	13986	-0.7123684287071228	-0.1656891	No	
row_13	SEPTIN9	14740	-0.9492636919021606	-0.14870402	No	
row_14	RUNX1	15549	-1.3468583822250366	-0.11013708	No	
row_15	ACSL6	17075	-3.9857585430145264	0.052116908	No	
