NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMOX1	3954	6.478417873382568	-0.32927853	No	
row_1	CES3	4531	4.944143295288086	-0.37049192	No	
row_2	KHSRP	6663	-3.161952257156372	-0.54851234	No	
row_3	CSK	7029	-3.7931864261627197	-0.5735138	No	
row_4	LIPA	8236	-6.923279285430908	-0.66559315	No	
row_5	DGAT2	8506	-7.996360778808594	-0.67523766	No	
row_6	LDLR	9400	-13.453888893127441	-0.7293589	No	
row_7	ANXA2	9551	-14.67424488067627	-0.7174892	No	
row_8	EHD1	10331	-27.2286319732666	-0.73854387	Yes	
row_9	CD36	10776	-41.46400833129883	-0.70673865	Yes	
row_10	PCSK9	10838	-44.356407165527344	-0.6370951	Yes	
row_11	SOAT1	11057	-56.435367584228516	-0.56056607	Yes	
row_12	NCEH1	11343	-91.72299194335938	-0.43022162	Yes	
row_13	LDLRAP1	11459	-121.01024627685547	-0.2358006	Yes	
row_14	SCARB1	11503	-148.62672424316406	0.011443776	Yes	
